Name,Price
"Bontel 3310 - 1.77""IPS LCD Screen, 1,000 MAh Battery - //Black","KSh 1,490"
Estia Quartz Portable Electric Room Heater,"KSh 2,499"
Fashion Adjustable Slimming Belt Waist Trainer Tummy Trimmer  - Black,KSh 600
Fashion Unisex Summer  Bucket Hat,KSh 444 - KSh 799
Fashion Mens Casual Shoes Soft Leather Loafers 38-47-Black,"KSh 4,350"
"Amtec 22"" Inch Digital HD LED TV+FREE Aerial+32GB Flash Disk+Audio Cable","KSh 8,999"
Mara Ayurvedic Shampoo Bar- 100g,KSh 298
Microkingdom G6 Wired Gaming Mouse Colorful Backlight+Mouse Pad,KSh 499
"Samsung Galaxy A13, 6.6"", 128GB + 4GB(Dual SIM), 5000 MAh, Blue + Free SW64Pod","KSh 25,019"
O B Tampons Super X8,KSh 230
Fashion 2Pcs/Set Best Friends Tai Chi Yin Yang Hollow Pendant Split-,KSh 96
Ampex 10000W SUB WOOFER BlueTooth/FM/SD/USB,"KSh 3,699"
Kcc Gold Crown Long Life Milk - 500ml,KSh 60
Kedley ADVANCED WRIST SUPPORT -Universal Size,"KSh 1,250"
Fashion 5 Pack Plain T-shirts,"KSh 2,500"
Generic 200Pcs 3D Stars Glow In The Dark Luminous Fluorescent Wall Stickers Home Decor,KSh 256
"Tecno Spark 8 P - 6.6"", 64GB + 4GB (Dual SIM) 5000mAh- Gold +  Free  Quality GIFTS","KSh 18,399"
Miniso Soft Silicon Storage Basket,KSh 259
Generic Fashion Pearl Hoop Earrings Set For Women Circle Hoop Earrings Jewelry Gift,KSh 619
Generic Luxurious Soft Fluffy Carpet-Grey,"KSh 1,950 - KSh 5,268"
Generic Tummy Slimming Cream Flat Tummy Cream Fat Burning Cream,KSh 599
Fashion Monkey Bag Travel Backpack Hiking Daypack,"KSh 1,487"
Generic Stylish Wireless Earphones Titanium Steel Protective Chain-,KSh 39
Rosy Printed Serviettes 100 Sheets,KSh 100
Huggies Dry Comfort Diapers Size 5,KSh 250
"XIAOMI Redmi Note 11S, 6+128GB, 6.43"", 1080p, 4G LTE, Gray","KSh 28,499"
Mara Neem Oil- 125ml,KSh 510
Generic 3.5mm Audio MP3 Wireless Bluetooth Car Adapter AUX Receiver,KSh 399
Generic DVI (24+5)  Male To HDMI Female Adapter,KSh 299
"Bontel 3310 - 1.77""IPS LCD Screen, 1,000 MAh Battery - //Black","KSh 1,490"
Estia Quartz Portable Electric Room Heater,"KSh 2,499"
Fashion Adjustable Slimming Belt Waist Trainer Tummy Trimmer  - Black,KSh 600
Fashion Unisex Summer  Bucket Hat,KSh 444 - KSh 799
Fashion Mens Casual Shoes Soft Leather Loafers 38-47-Black,"KSh 4,350"
Fashion Black Bomber Jacket ,"KSh 2,500 - KSh 2,800"
"Amtec 22"" Inch Digital HD LED TV+FREE Aerial+32GB Flash Disk+Audio Cable","KSh 8,999"
Mara Ayurvedic Shampoo Bar- 100g,KSh 298
Microkingdom G6 Wired Gaming Mouse Colorful Backlight+Mouse Pad,KSh 499
Kirkland Minoxidil 5% Extra Strength Hair Regrowth 2 Month + Dropper,"KSh 2,450"
"XIAOMI Redmi 9A, 6.53""-2GB+32GB-13.00MP, 5000mAh, 4G LTE, (Dual SIM)-Grey+ 64FM GIFTS","KSh 12,599"
Fashion 3D Glow In The Dark Butterfly Wall Stickers Home Decoration,KSh 355
Fluffy 5*8 Soft Fluffy Carpet,"KSh 2,445"
"Generic Throw Pillow Cover 18*18""","KSh 500 - KSh 2,250"
Kericho Gold Ginger & Lemon - 40g,KSh 245
JTC MULTIMEDIA SUBWOOFER SYSTEM 2.1 CH Speaker-WHITE,"KSh 8,900"
Fashion Diamond-Studded  Wedding Engagement Ring,KSh 184
"Syinix 32E4M,32"" Inch Frameless LED Digital TV Smart I-cast Screen","KSh 12,999"
Joy Start High Quality Canvas 3-In-1 Laptop Backpacks(Grey),"KSh 1,191"
Fashion Mens Sneakers Men Sneakers Men Fashion Sneakers Mens Shoes Running Classic Shoes,"KSh 1,350"
Dstv 6s HD Decoder + Dish Kit + 1M Access,"KSh 2,591"
Sunlight Lavender Washing Powder 1kg + Free Soap,KSh 360
Jikokoa Classic Stove - Black,"KSh 2,990"
Mama's Own Mama's Own Green Label Spaghetti - 400g,KSh 81
Oraimo Power Bank OPB-P206DN 20KmAh,"KSh 2,270"
Annov 2L Electric Automatic Kettle + 1 Potato Cutter,"KSh 1,099"
Downy Downy Valley Dew - 1.5l,KSh 799
Fashion Mens 4 Pcs V- Neck Unisex T-shirts,"KSh 1,600"
Kensalt Kensalt Iodized Table Salt – 2kg,KSh 70
Generic Adjustable Portable Shoerack,"KSh 1,638"
"Edifier X3 Wireless Headphone, Bluetooth 5.0 Headset Earpiece,Noise Cancelling,Touch Contro,IPX5 Waterproof","KSh 2,149"
Fashion Foldable Eyebrow Shaper Eyebrow Razor -3Pcs,KSh 133
Annov 2L Electric Automatic Kettle + 1 Cap,"KSh 1,199"
Zuri Pure Luxury Bathing Bar - 200g,KSh 90
Generic Duvet Floral Royal Blue,"KSh 1,899"
Waanzilish Ladies Sneakers Shoes Women's Breathable Sneakers Running Shoes -Pink,KSh 799
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver","KSh 10,000"
Fashion 11Pcs Boho Vintage Ring Set Silver Rings Crystal Finger Rings Set Jewelry,KSh 259
Garnier Even And Matte Vitamin C Facial Skincare Bundle,"KSh 1,199"
Fashion Stylish And Unique Casual Outdoor Men Sandles/slippers,KSh 760
UNCOVER Sheet Mask: I Am Brilliant – Vitamin C (3pcs),KSh 675
Zoe Zoe Men Lotion Active Energy - 400ML,KSh 180
Nunix 3.1Ch MINI Home Theater Speaker System,"KSh 4,950"
"K.Brothers K Brothers Rice Milk Anti Acne Soap, Softens Skin Dazzling.",KSh 117
Power King 6 Way Power Extension 3M Cable + Free 2 Mobi Gifts,KSh 639
Blue Band Blue Band Margarine Spread For Bread – 500g,KSh 155
Famila Famila Uji Mix 1kg,KSh 139
Oraimo 27000mAh Power Charing Bank Traveller,"KSh 3,460"
Aryuv Aryuv Baby Wipes - 80s,KSh 200
Fashion Women's Shoes Sneakers Air Cushion Running Shoes Breathable Non-Slip Fitness Leisure Running Sneakers,"KSh 1,150"
Blue Band Blue Band Peanut Butter Smooth – 400g,KSh 320
Fashion Leather Loafers For Men,"KSh 1,150"
XIAOMI Mi In-Ear Headphones Basic - Silver,KSh 799
"Annov Stainless  Blender & Grinder - 1.5L, 350W + 1Spoon 1Fork.","KSh 2,799"
Garnier Micellar Oil-Infused Cleansing Water (Oil In Water) - 400ml,KSh 596
HP V250W Flash Disk - 64GB - Silver,KSh 775
Kensalt Salt - 2 Kg,KSh 58
Jamaa Jamaa Cream Bar Soap 1kg,KSh 205
Fashion HD Night Vision Driving Glasses + Black Cap,KSh 449
Fashion HD Night Vision Driving Glasses + Black Cap,KSh 449
Fashion Women's Shoes Sneakers Walking Shoes Breathable Fitness Casual Running Cute Sneakers,"KSh 1,063"
Fashion Mens Bracelets Multi-layer Bracelets Vintage Lion Head Hand Leather Bracelets,KSh 302
Fashion Men Safety Shoes Black Fashion Men Shoes Safety Shoes Steel Steel Lightweight Midsole,"KSh 1,390"
Fashion Men's Breathable Shoes Loafers Shoes Low Top Casual Shoes - Grey,KSh 990
JIBAO 4 Piece Cotton Duvet,"KSh 1,950"
"Generic Lapel Microphone For Cameras Phone,150CM Cable",KSh 299
"XIAOMI Redmi 10C 6.71'', 4GB+128GB, 50MP+2MP Camera, 4G, Dual SIM - Blue","KSh 18,899"
Fashion Mens Suede Leather Shoes -Black,"KSh 2,506"
Generic 3.5mm Lapel Clip-on Handsfree Wired Microphone-Black,KSh 84
"Vitron HTC4068S,40"" Inch Smart Android TV WIFI Netflix,Youtube,Playstore","KSh 19,989"
"Generic Bluetooth 5.2/3.0 And 2.4G Three Modes Wireless RGB Mouse With USB Rechargeable For PC,Laptop,Macbook,Tablet, Mobile Phone",KSh 499
Fashion 4PCS Hottest Desire Patterned Seamless Hipster Panties,KSh 589
"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, Quartz Cyan","KSh 10,399"
Amara Amara Cocoa Butter Body Lotion - 400ml,KSh 208
"Vitron 43"" Inch Full HD Smart Android TV 1GBRAM+8GB ROM","KSh 24,999"
Fashion Backpack Bags Laptop Backpack Ladies Backpack 3 In 1 Back Pack Bag Backpack,"KSh 1,090"
Scarlett Steam Iron Box With FREE 2L Automatic Electric Water Kettle,"KSh 1,843"
Maybelline Superstay Matte Ink Liquid Lipstick - 50 Voyager,"KSh 1,140"
"Iworld Fast Charging 3.1A, 1.2m Lightning Cable (Compatible With Apple IPod, Apple IPad, Apple IPhone, One Cable)",KSh 370
Focallure Collagen Crystal Hydra-Gel Eye Mask,KSh 100
Fashion 2 In 1 Eyeliner/Eyebrow Gel (Black And Brown),KSh 310
Nunix Powerful Blender 2 In 1 With Grinder Machine 1.5L,"KSh 2,320"
Indomie Beef Noodles - 70g (Pack of 5),KSh 140
Eco Style Olive Oil Professional Styling Gel,KSh 349
Toilex Poa Toilet Paper Pink 10 Pack Wrapped,KSh 214
"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket","KSh 1,118"
Annov Memory Card 64GB High Speed (OTG+Android Cable),KSh 559
Fashion Lady High Heel Sandals Transparent- Pink,"KSh 1,245"
Rashnik New 2.3 Litres Cordless Kettle,"KSh 1,249"
Iworld Super Strong Bass Wired Earphones With Mic,KSh 388
Sunlight Spring Sensations 1kg + Free 500g,KSh 450
Fashion 64GB Pendrive Flash  DriveUSB 2.0 High Speed OTG,KSh 716
"Iworld Fast Charging 3.1A, 1.2m Micro Cable (Compatible With All Phones/Tabs With Micro Port, One Cable)",KSh 370
Monster Energy Mule 500ml - 4 Pack,KSh 640
Geisha Moringa Beauty Bar Soap - 125g,KSh 87
Superfoam Morning Glory Heavy Duty Plain Mattress - Maroon Floral,"KSh 4,735 - KSh 11,071"
Fashion Women Small Shoulder Bags Sling Bag-Pink,KSh 350
Generic 12Pcs Set Makeup Brushes Cosmetics Tools,KSh 384
XIAOMI Redmi 10 6.5'' Inches 4+64GB 50MP Rear Camera 4G Smartphone - Grey,"KSh 18,999"
"X Tigi S23 Mini - Big Torch -FM Radio -Bluetooth -2050 mAh- {Green},","KSh 1,549"
Fashion 6 Pairs Clear Invisible Transparent Adjustable Bra Set Hook-,KSh 119
Fashion Handbags For Women Fashion Ladies PU Leather,"KSh 1,515"
"Apple IPhone X, 256GB, 3GB RAM, Single Sim - Silver...........","KSh 45,800"
"XIAOMI Redmi 9A 6.5"",32GB+2GB,13MP, 5000mAh ,13MP, Blue+FREE SELFIESTICK+OTG+RING+BTs","KSh 13,999"
Natural Scent Air Freshners Fresh Natural 300ml,KSh 175
Generic Finger Skateboard Complete Fingerboards Fingertip Toy Repair Model 3,KSh 322
Oraimo Pure Bass Stereo In-Ear-Earphones+Extra Ear-tips,KSh 395
"Tecno Spark 8c, 6.5"", 64GB/2GB-RAM-16MP-(Dual SIM)-5000mAh-CYAN+ALL ESSENTIAL GIFTS","KSh 13,488"
Downy Fabric Softener Feel Luxurious 880Ml,KSh 641
Kiwi Quality Shoe Polish  -  Dark Tan  -  32g,KSh 129
Fashion 6 Pure Cotton Seamless Ladies  Panties Underwear,"KSh 1,050"
"Infinix Smart 6, 6.6"", 2GB RAM, 32GB, Android 10, XOS 7.6, 5000mAh, 3G - Ocean Wave","KSh 10,695"
Generic Cock Rings For Stronger Erections And Orgasms,KSh 399
Generic 30 Pieces flexi rods/curling rods...,KSh 540
Generic 2Pcs Portable Speaker High-Volume Subwoofer USB-Black,"KSh 1,378"
Bisutang Eight Fruit Extract Moisturizing Korean Facial Sheet Masks,KSh 799
Rexona Extra Cool Men Deodorant Spray,KSh 344
"HP 17A - CF217A  LaserJet Toner Cartridge,Black","KSh 2,500"
Cosrx [Made In Korea] Aloe Soothing Sun Cream SPF50 PA+++ - 50ml,"KSh 1,890"
Fashion Official  Leather Shoes,"KSh 1,500"
"Tecno Spark 8C, 6.5"", 64GB/2GB-RAM-13MP-(Dual SIM)-5000mAh-CYAN+FANCY FLASHGIFTS","KSh 15,109"
Generic Go-TVv Remote - Black,KSh 479
Generic 6 By 6 Peach Mosquito Net With Light Portable Metallic Stands,"KSh 1,398"
Sokany Electric Juice Extractor/juicer,"KSh 4,149"
Generic Breathable Waist Tummy Corset Girdle Belt Body Shaper Trainer M Black,KSh 474
Gw Denim Men Jeans,"KSh 1,490 - KSh 1,590"
Generic Curtains With 1PCS ORANGE,"KSh 1,250"
Fashion 3Pcs Ring Women Personality Hip-hop Adjustable Open End Finger Joint Decoration-Silver,KSh 56
AILYONS Stainless Steel 2 Burner Gas Stove.,"KSh 2,698"
Fashion 4PCS Warm Soft  Baby Receiving Flannels,KSh 856
Generic Samsung Galaxy A23 Case Soft 6D Plating Phone Back Cover,KSh 280
"Vitron 19"" INCHES Digital TV-FREE TO AIR CHANNELS AC/DC-black","KSh 6,900"
Generic Hand Press Ginger Crusher And Garlic Crusher,KSh 499
Generic 2Pcs Mobile Game Controller Gamepad Trigger Aim Button For,KSh 195
"Solar Light Split Solar Wall Lamp With 120 Led, Motion Sensor, Waterproof, Patio ,garden, Pathway","KSh 2,350"
"Gld SMART Android TV 40"" Inch,USB,HDMI PORTS,NETFLIX,YOUTUBE+WI-FI","KSh 20,499"
Solar Light 180W Solar Light Motion Sensor Security Dummy Camera,"KSh 1,174"
Generic Portable Uniqu Shoe Rack- Vary,KSh 900
Fashion LouisWill Men Classical Fashion Glasses Polarized Sunglasses,KSh 803
Generic 2Pcs Portable Speaker High-Volume Subwoofer USB-Black,"KSh 1,378"
Bisutang Eight Fruit Extract Moisturizing Korean Facial Sheet Masks,KSh 799
Sokoni Steelwool 15gx30,KSh 216
Rexona Extra Cool Men Deodorant Spray,KSh 344
"HP 17A - CF217A  LaserJet Toner Cartridge,Black","KSh 2,500"
Cosrx [Made In Korea] Aloe Soothing Sun Cream SPF50 PA+++ - 50ml,"KSh 1,890"
Fashion Official  Leather Shoes,"KSh 1,500"
"Tecno Spark 8C, 6.5"", 64GB/2GB-RAM-13MP-(Dual SIM)-5000mAh-CYAN+FANCY FLASHGIFTS","KSh 15,109"
Generic Go-TVv Remote - Black,KSh 479
Generic 6 By 6 Peach Mosquito Net With Light Portable Metallic Stands,"KSh 1,398"
Sokany Electric Juice Extractor/juicer,"KSh 4,149"
Generic Breathable Waist Tummy Corset Girdle Belt Body Shaper Trainer M Black,KSh 474
Gw Denim Men Jeans,"KSh 1,490 - KSh 1,590"
Generic Curtains With 1PCS ORANGE,"KSh 1,250"
Fashion 3Pcs Ring Women Personality Hip-hop Adjustable Open End Finger Joint Decoration-Silver,KSh 56
AILYONS Stainless Steel 2 Burner Gas Stove.,"KSh 2,698"
Fashion 4PCS Warm Soft  Baby Receiving Flannels,KSh 856
Generic Samsung Galaxy A23 Case Soft 6D Plating Phone Back Cover,KSh 280
"Vitron 19"" INCHES Digital TV-FREE TO AIR CHANNELS AC/DC-black","KSh 6,900"
Generic Hand Press Ginger Crusher And Garlic Crusher,KSh 499
Generic 2Pcs Mobile Game Controller Gamepad Trigger Aim Button For,KSh 195
"Solar Light Split Solar Wall Lamp With 120 Led, Motion Sensor, Waterproof, Patio ,garden, Pathway","KSh 2,350"
"Gld SMART Android TV 40"" Inch,USB,HDMI PORTS,NETFLIX,YOUTUBE+WI-FI","KSh 20,499"
Solar Light 180W Solar Light Motion Sensor Security Dummy Camera,"KSh 1,174"
Generic Portable Uniqu Shoe Rack- Vary,KSh 900
Fashion LouisWill Men Classical Fashion Glasses Polarized Sunglasses,KSh 803
Fashion Ladies Denim Jacket,"KSh 1,800"
Dr. Rashel Aloe Vera Facial Cleanser Oil Control Wash Tighten Pores,KSh 499
Sony HDMI To HDMI High Speed Cable 3meters High Quality,KSh 799
Primus Quality 6 KG Gas Cylinder Burner For Meko,KSh 375
Fashion Sexy Women Solid Color Deep V Lace Trim Silk Robe Dress-Red,KSh 379 - KSh 397
Itel CORDLESS ELECTRIC WATER KETTLE,"KSh 1,436"
NIVEA MEN Cool Kick Shower Gel For Men - 500ml (Pack Of 2),"KSh 1,312"
"XIAOMI Redmi 10C 6.7'', 4GB+64GB, 50MP  Camera, 4G, Dual SIM - Grey +FREE SMARTWATCH","KSh 17,399"
Fashion Women Sexy Lingerie Sleepwear Night Bra And Panty Set Backless Pajamas,KSh 429 - KSh 462
LA Girl USA Face Infinity Primer+Setting Spray Set,KSh 730
Generic 4PC Duvet Set (1 Duvet + Bedsheet + 2 Pillowcases),"KSh 2,169"
"Ulefone S11, 6.1"", 1GB RAM + 16GB (Dual SIM), 3500mAh,Twilight","KSh 7,999"
Generic Natural Eucalyptus Menthol Crystals ( 15 Grams),KSh 399
Generic 12Pcs Hexagonal Self Adhesive Mirror Effect Wall Sticker Living Room Decal Decor-Silver,KSh 81
Generic Samsung Galaxy A13 4G 3 In 1 Hard PC Case - Black,KSh 699
"Fashion Yoga Legging Sport For Women, Two White Strips  Hot Strecher",KSh 388
Kaspersky Antivirus 1+1 User,"KSh 1,550"
Safaricom NEON RAY PRO LONG LASTING BATTERY,KSh 659
Rashnik Double SPIRAL Plate Electric Burner -electric Coil,"KSh 2,999"
Fashion LouisWill Mens Hat Outdoor Sunscreen Cap Berets Flat Cap,KSh 809
Fashion Classic Gents' Pure Leather Official Boots,"KSh 1,350"
Cacatua Men's Leather Boot,"KSh 2,710 - KSh 2,740"
Advance 16GB USB Flashdisk-Silver,KSh 420
"Textilian Cotton, Dyed, Reversible, Duvet Cover Set - T-200","KSh 2,700 - KSh 3,150"
Mara Shikakai Powder - 100g,KSh 383
"Generic Antenna Aerial & 14"" - 42"" Mount For Digital TV",KSh 900
Generic Mosquito Net ROUND NET-White,KSh 879
MK Fridge Guard -white+Free 5 -way Extension Cable.,"KSh 1,199"
Generic 3M RJ45 Ethernet Cable Cat6 Internet Network LAN,KSh 469
Generic Classy And Elegant Circle Wall Decorations/stickers,KSh 569
Generic Automatic Water Dispenser-smart Wireless Pumping Unit,KSh 755
Lsvtr 2 Pcs Set Couples Wrist Watches Men Women Lovers,"KSh 2,999"
Fashion Diamond-studded Earrings Necklace Set-Silver,KSh 350
Wins Town Slimming/Weight Loss/Flat Tummy Green Coffee For Detox,"KSh 1,335"
Sony MDR-ZX110 Wired Headphones - Black,"KSh 2,199"
Gofrut Apple Juice 1L,KSh 120
Generic 1 Set Simulation Bonsai Realistic Non-fading Plastic Artificial Large Pine Plants For Decorating-Purple Orchid,KSh 148
Fashion Women Fashion Metal Bar Charm Dangle Gold Plated Chain Pendant Necklace,KSh 43
Valon Petroleum Jelly Perfume 100g,KSh 110
Generic Soft Velvet Woolen Duvet,"KSh 2,999"
Fashion Wave Black Women's Wig,KSh 974
Samsung 15W Galaxy TYPE C FAST Charger FOR Note 10 Plus And Lite / S20 / S20+ / S20 Ultra / S10 Lite / S10 / S10 Plus /S10e / S8 / S8 Plus / S8 Active / S9 / S9 Plus / Note 8 / Note 9/ A30 / A50 / A70 / LG G7 G8 ThinQ / Motorola All Android USB Type C,KSh 850
Generic Table Top 8 Inch Ringlight,"KSh 1,300"
Generic Hon. Raila Odinga T-Shirt,KSh 999
Jumia Books The Love Hypothesis : A Novel,KSh 792
Acne Scar Removal Stretch Marks Serum - Pasjel Pastel,KSh 780
Fashion High Puff Afro Kinky Ponytail - LARGE Size,"KSh 1,199"
Touch Me Toothpaste Dispenser And Holder,KSh 567
Generic CTC Digital Tv Remote Control,KSh 870
calabaza Roasted Pumpkin Seeds Powder Organic & Pure,KSh 320
Fashion Ladies Thick Bottom Low Cut Lace Up  Sneakers,"KSh 2,419"
Sony SMART TV  Remote Control with NETFLIX Button  - Black,"KSh 1,348"
Lucky Star 11 Pieces Unisex New Born Baby Receiving Set- White With Prints,"KSh 1,250"
Generic 100% VEGAN EXFOLIATING  FOOT PEEL MASKS,KSh 800
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","KSh 7,368"
Fashion Mens Fashion Sneaker-Black,"KSh 1,069"
Girl La Girl Setting Spray,KSh 264
Oraimo Fast Android Usb Cable,KSh 195
Fashion 2 In 1 Men's Short Sleeve Shorts Set - White,KSh 945
PHOELIX FASHIONS ELEGANT ETHIOPIAN LEATHER OFFICIAL SHOES.,"KSh 1,149"
Neutrogena Skin Friendly Travel Size Sunscreen Suncream UVA/B Sunblock,KSh 479
Fashion 2Pcs/Set Couple Luminous Pearl Love Bracelets,KSh 194
Generic Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,KSh 955
Fashion 3 In 1 Ladies Handbags Set Women Shoulder Bags Leather Waterproof-Black,"KSh 1,055"
"Vitron 4068 40"" SMART ANDROID TV, NETFLIX, YOUTUBE TV.","KSh 18,995"
Fanta Blackcurrant Soda - 2 litres - Pack of 6,KSh 980
Kirkland Minoxidil 5% Extra Strength Hair Regrowth 1 Month + Dropper.,"KSh 1,250"
Fashion Men Shoes New Casual Breathable Shoes,KSh 999
Fashion Women\'s Vintage Simple Multilayer Crescent Star Bead Polished Short Necklace-Gold,KSh 66
"Samsung Galaxy A03 6.5"" 3GB RAM+32GB ROM 48 MP //Dual SIM-Blue+FREE EARBUDS+C+W","KSh 14,099"
Teeth Whitening Essence Removes Discoloration,KSh 345
Generic Round Mosquito Net- Free Size,KSh 875
Pepsodent Cavity Fighter Toothpaste 150g - Buy One Get One Free,KSh 299
PHOELIX FASHIONS Official Ethiopian Leather Shoes.,"KSh 1,199"
Fashion 3PACK Hottest Seamless Silky Freesize Thong Panties(hips 34-42inches),KSh 545
MK Electronics TV Guard Voltage Surge Protector,KSh 599
Maybelline Fit Me Matte And Poreless Foundation- Mocha 360-With Clay,"KSh 1,013"
Generic Wireless Bluetooth 4.1 Stereo Headset Headphone Earphone-,KSh 199
Brown& Yellow Teeth Whitening Essence Finest,KSh 335
Fashion Couple Bracelets Hand Leather Bracelets Vintage Lock & Heart Bracelets,KSh 400
Luodais Classic Human Hair Wig & Weave Repair Serum,KSh 399
Velvex Premium Kitchen Towel Pink Twin Pack,KSh 290
Fashion Black Leggings Yoga With White Stripes High Waist Stretch,KSh 386
Maybelline Colosal Kajal Argan Oil Extra Black,KSh 563
VON VSYA55MTX Air Fryer 5.5L,"KSh 13,799"
Fashion Pitsa Bag - Royal Blue,KSh 765
Buttercup SACHA BUTTERCUP SETTING POWDER,KSh 320
Royco Cube Fortified 4g (Pack Of 40),KSh 124
Zoe Zoe Shampoo Apple - 1L,KSh 196
Fashion Creative Astronomical Metal Ball Ring Jewelry,KSh 280
Fashion Eyebrow Shaper Facail Hair Razors (3 Pcs),KSh 133
Fashion Ladies Black Wigs Long Ponytail Curly Wigs Extension Wigs,KSh 339
Nunix Home Theater/ Woofers Clear Audio Output And Base,"KSh 7,900"
Cocopulp Skin Lightening&Brightening Face&Body Cream With Coconut Oil,KSh 367
New Rixing NR-4017 Home Theater TV Wireless Sound Bar Speaker,"KSh 2,459"
"Oppo A55, 6.51"", 128GB + 4GB RAM (Dual SIM), 50 MP, 5000mAh, Black + FREE GIFTS","KSh 25,199"
Fashion 1PC Stretchy Shinny Skin Tight Biker Shorts,KSh 480 - KSh 499
Generic A9 Portable LED Light Crack Bluetooth Speaker U Disk-White,KSh 340
Fashion Black Suede Loafers,KSh 999
Nunix Hot And Normal Water Dispenser R5 Silver,"KSh 5,997"
Fashion Ladies Full Neck Sweater - Ladies Turtle Neck Red,KSh 600
Generic KNIFE SHARPENER MANUAL KNIFE SHARPENER TOOL,KSh 475
"XIAOMI Redmi 10C 6.53'', 4GB RAM + 64GB, 4G, Dual SIM, Grey + Smart Watch & Power Bank","KSh 17,899"
Generic Android Micro USB Type C Connector Adapter Convert,KSh 189
Power King >Extension Power Cable > 6 Way,KSh 648
Fashion Ladies Off-shoulder Slitted Maxi Dress,"KSh 1,840"
Fashion 3Pcs Women Butterfly Letter Charm Anklet Beach Foot-Pink,KSh 195
Amaze Hivolt Guard Voltage Protection,KSh 500
Generic 3 PACK LADIES LACE STRINGED MUTICOLORED PANTIES,KSh 799
Vitron AC/DC LED DIGITAL TV With Inbuilt Decorder 22'' INCHES,"KSh 7,948"
MK Tv GUARD And 4 Way Extension Cable,"KSh 1,195"
Aroma Naturals Scented Candles,"KSh 2,000"
Cerave Salicylic Acid Cleanser 237ml,"KSh 3,500"
SIWAR BY Néo Artisanal Combat Military Safety Boots,"KSh 2,599"
Generic Breathable Dog Harness Vest Comfortable For Jogging Night Black L,"KSh 1,581"
Generic DIY Silicone Facial Mud Mask Stirring Brush Skin Care-Pink,KSh 67
"Meiyanqiong NATURAL TEETH WHITENING PEN , Oral Hygiene & Remove Stains",KSh 319 - KSh 544
Fashion Mountaneering Sneakers-Black,"KSh 1,700 - KSh 2,000"
AILYONS Electric Stainless Steel Kettle+ Dry Iron Box,"KSh 1,979"
Fashion No Show Ankle Silk Socks - 6 Pairs,KSh 299
Carrefour Elbbin & Nibble Stick Salt & Vinegar 30G,KSh 39
Oppo Noise Reduction Earphones-White,KSh 350
Fashion Camo Print Unisex Windproof Anti-UV Outdoor-Camo Army Green,KSh 216
Fashion Women Shoes Sneakers Women Breathable Sneakers Ladies,KSh 788
Generic Cloth Pegs - 144PCS - Assorted,KSh 499
Generic Car Anti-Fog Film Waterproof Sticker Anti-glare Rearview Mirror.,KSh 649
Generic 100Pcs Colorful Paper Cake Cupcake Liner Case Party Wrapper-,KSh 152
Generic 1280x720P HD 16X Digital Zoom 16.0 MP Digital Video Camera Recorder With 2.0 Inch LCD Screen(Black),"KSh 3,196"
Fashion Ankara Mummy Bag/ Handbag  Hand Bag,KSh 800
L.A. Girl Pro Concealer - Cool Tan,KSh 190
UNCOVER Sheet Mask: I Am Beau-tea-ful – Green Tea (3pcs),KSh 675
"Nokia 106 Dual Sim, [4MB RAM + 4MB ROM], 1.8'', - PHONE+FREE BRACELET WATCH","KSh 1,699"
Fashion Official Shirt  Slim fit-Blue,"KSh 2,000"
Fashion Men  Brown Loafer,"KSh 1,199"
Generic HDTV Aerial Amplifier Signal Booster TV HDTV,KSh 382
"Netac P500 Extreme Pro, 128GB With Adapter/speed 100 MBS","KSh 1,850"
Fashion Ombre Body Wave  Bob Wig,"KSh 1,900"
Generic Korean Fashion 12 Pairs Stud Earrings Set Mini Round Ball Beads Sparky,KSh 149
Fashion 2 In 1 Men's Summer Ice Silk Suit Short Sleeve + Nine Pants—White Gradient,"KSh 1,921"
Fashion Formal Shoes for Men Plus Size 39-45 Luxury Oxford Shoes Men Leather Shoes Gentleman Italian Pointed Toe Men Boat Shoes,"KSh 5,690"
Power King 3x 4 Way Power Extension Cable + Free Gift,"KSh 1,100"
Fashion Full Iced Out Paved Rhinestones Gold Chain Bling,"KSh 949 - KSh 1,599"
Fashion 3 PCS SEAMLESS LADIES BIKERS/UNDERWEAR,KSh 750
Generic Digital TV Aerial + 10mtr Cable + Free Cable Clips,KSh 899
Generic Charging Cable For Noise Colorfit Pro 3 Smart Watch,KSh 599
Generic White Unisex Chef Hat,KSh 350
Blue Band Roots3 Margarine 1kg,KSh 478
Amana Amana Rose Coco 1kg,KSh 195
O B Tampons Regular  -  X16,KSh 350
Generic Glass Oil Bottle 500ml,"KSh 1,027"
Fashion Khaki Cargo Pants+Socks,"KSh 1,291 - KSh 1,299"
"Canon PG445 BLACK, CL-446 Color Ink Cartridge 445 446 For PIXMA MG3040 PIXMA MG2545S PIXMA MG2440 PIXMA MG2940 PIXMA MG2540 PIXMA MG2540S PIXMA IP2840 PIXMA MX494 PIXMA TS204 PIXMA TR4540 PIXMA TS3140 PIXMA TR4540 PIXMA TR3340","KSh 2,600 - KSh 2,700"
