Name,Price
Fashion Makeup Sponge Foudation Blender Beauty Tools 4 Pcs/ Set,KSh 278
Ribena Ribena Blackcurrant – 1ltr,KSh 235
Generic Reusable Natural Magnetic False Eyelashes Kit 5 Pairs,KSh 575
"Canon PIXMA MG2540S - Print, Copy, Scan (All-In-One)","KSh 4,699"
AILYONS HD-198A Electric Dry Iron White & Blue,KSh 759
Fashion Ladies Shoulder Bags Handbags Women Leather-Brown,"KSh 1,599"
Qwen 2.4GHz Wireless Rechargeable Mouse Slient  Mouse,KSh 460
Fashion 3 In 1 Women Bag Crossbody Bag Handbag Underarm Bag Ladies Sling Purse Tote Hobo Bag Female Messenger Shoulder Bag Wallet Satchel,"KSh 1,190"
Fashion 4 Pcs Women Bag New Version Crossbody Bag Handbag Wallet,"KSh 1,041"
Toss Toss Lavender Detergent Powder plastic container - 1kg,KSh 335
Maybelline Fit Me Hydrating Primer Luminous And Smooth,KSh 690
Edifier M206BT 68Watts Bluetooth Multimedia Speakers,"KSh 4,161"
"Coke Coke Multipack Assorted, 1.25 Litre soda multipack",KSh 420
Waanzilish Ladies Sneakers Shoes Women's Breathable Sneakers Running Shoes -Black,KSh 727 - KSh 899
Fashion Men's Sneakers 04-05-Black,KSh 369 - KSh 440
Fashion Checked Soft Cotton Boxers - Assorted (6 Pack),KSh 688
Nunix Electric Hand Mixer Whisk Egg Beater Cake Baking Mixer,KSh 758
Fashion Mens Fabric Shoes -Black,KSh 780
Minoxidil Kirkland Minoxidil Hair Regrowth Plus DROPPER Best,KSh 595
Genera YingHD 10000mah Power Bank White,"KSh 1,080"
Generic M6 Smart Sport Fitness Bracelet Tracker Watch,KSh 717
Generic 4 By 6 Purple Mosquito Net With  Portable Metallic  Stand,"KSh 1,275"
Generic Wireless Bluetooth 5.1 Earpods HIFI Stereo Waterproof Headsets 2000mAh Charging Box Earphone,"KSh 1,100"
"Infinix Hot 12i, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, 4G, Racing Black","KSh 13,999"
T&G TG117 Portable Bluetooth Wireless Speaker 2*5W,KSh 816
"Samsung Galaxy A13, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 19,399"
"Nokia 105 (2019) (Dual SIM), 1.77"" , FM Radio, + FREE CLASSIC WATCH+ BT","KSh 1,831"
Fashion Men's Basketball Shoes 04-11-Blue,KSh 571
"Royal 32"" HD Ready Digital LED Television - Black","KSh 10,795"
Oraimo Smart Watch 1.69'' IPS Screen IP68 Waterproof,"KSh 4,350"
